TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.025393	0.000000
CCGT	21189.715107	506.174254	25.000000	0.000000	25.654650	Infinity	0.000000	0.136854	1.000000	0.220404	0.955769	0.048263	4715.068211
CCGT_AMMONIA	0.001244	0.000029	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000871	0.590000	0.048263	0.000277
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.862792	0.036934	0.000000
COAL_IGCC	0.004030	0.000059	35.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.005491	0.850864	0.036934	0.000399
PV_ROOFTOP	4796.263645	63.223476	25.000000	6.500000	6.500000	98.800000	0.000000	0.030261	1.000000	0.192350	1.000000	0.048263	13529.295268
PV_UTILITY	29546.815483	742.891467	25.000000	0.000000	88.093474	1217.000000	0.000000	0.415162	1.000000	0.194716	1.000000	0.048263	183360.399729
PT_POWER_BLOCK	0.000364	0.000022	25.000000	0.000000	0.000000	10.000000	0.000000	0.000000	1.000000	0.000139	1.000000	0.048263	0.000000
ST_POWER_BLOCK	477.115529	47.711553	25.000000	0.000000	9.542311	10.000000	0.000000	0.059503	1.000000	0.257641	1.000000	0.048263	0.000000
WIND_ONSHORE	60056.102217	884.570072	30.000000	22.740000	52.590373	704.000000	0.000000	0.318942	1.000000	0.250572	1.000000	0.041639	32755.913750
WIND_OFFSHORE	0.006451	0.000062	30.000000	0.000000	0.000001	18.000000	0.000000	0.000000	1.000000	0.004383	1.000000	0.041639	0.000750
HYDRO_DAM	22841.930923	114.200430	40.000000	5.000000	5.437650	18.187000	0.000000	0.018315	1.000000	0.139165	1.000000	0.033427	9205.288277
HYDRO_RIVER	5473.738134	54.732605	40.000000	0.000000	1.085000	1.085000	0.000000	0.020963	1.000000	0.798268	1.000000	0.033427	1370.159683
TIDAL	0.000797	0.000049	40.000000	0.000000	0.000000	0.070000	0.000000	0.000000	1.000000	0.000153	1.000000	0.033427	0.000000
WAVE	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000000
GEOTHERMAL	0.007091	0.000115	30.000000	0.000000	0.000001	3.200000	0.000000	0.000000	1.000000	0.006238	0.850000	0.041639	0.020168
IND_COGEN_GAS	0.003283	0.000199	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.013084	0.844900	0.048263	0.002201
IND_COGEN_WOOD	0.001983	0.000068	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.007446	0.844900	0.048263	0.000279
IND_COGEN_WASTE	0.001857	0.000065	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002877	0.844900	0.048263	0.000378
IND_BOILER_GAS	23.898648	0.399005	17.000000	0.000000	0.338172	Infinity	0.000000	0.017242	1.000000	0.793091	0.944300	0.067080	4.166285
IND_BOILER_WOOD	1523.381783	25.388813	17.000000	0.000000	11.021428	Infinity	0.000000	0.633846	1.000000	0.894600	0.894600	0.067080	318.188627
IND_BOILER_OIL	0.001029	0.000018	17.000000	0.000000	0.000016	Infinity	0.000000	0.000000	1.000000	0.005880	0.944300	0.067080	0.000193
IND_BOILER_COAL	506.202215	8.436410	17.000000	0.000000	3.662294	Infinity	0.000000	0.210620	1.000000	0.894600	0.894600	0.067080	176.449303
IND_BOILER_WASTE	73.754540	1.229200	17.000000	0.000000	0.533603	Infinity	0.000000	0.030688	1.000000	0.894599	0.894600	0.067080	15.405105
IND_DIRECT_ELEC	2424.437612	9.427074	15.000000	0.000000	6.252902	Infinity	0.000000	0.107604	1.000000	0.267689	0.944300	0.074944	9.191766
DHN_HP_ELEC	5933.878612	179.869789	25.000000	0.000000	14.994766	Infinity	0.000000	1.000000	1.000000	0.634407	0.944300	0.048263	2620.935088
DHN_COGEN_GAS	0.003748	0.000103	25.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.010413	0.844900	0.048263	0.001351
DHN_COGEN_WOOD	0.001336	0.000046	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002971	0.844900	0.048263	0.000188
DHN_COGEN_WASTE	0.001571	0.000055	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001807	0.844900	0.048263	0.000320
DHN_COGEN_WET_BIOMASS	0.001120	0.000172	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.004577	0.745500	0.048263	0.000769
DHN_COGEN_BIO_HYDROLYSIS	0.001859	0.000084	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.002626	0.844900	0.074944	0.000245
DHN_BOILER_GAS	0.000349	0.000006	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.006253	0.944300	0.067080	0.000061
DHN_BOILER_WOOD	0.000570	0.000010	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.006162	0.894600	0.067080	0.000119
DHN_BOILER_OIL	0.000267	0.000005	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.003180	0.944300	0.067080	0.000050
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.041639	0.000000
DHN_SOLAR	0.001236	0.000001	30.000000	0.000000	0.000003	407.000000	0.000000	0.000000	1.000000	0.004756	1.000000	0.041639	0.000717
DEC_HP_ELEC	0.043390	0.001617	18.000000	0.000000	0.000077	Infinity	0.000000	0.000001	1.000000	0.251346	1.000000	0.063806	0.012668
DEC_THHP_GAS	19902.038761	519.983869	20.000000	0.000000	54.924903	Infinity	0.000000	0.820524	1.000000	0.321846	1.000000	0.058246	20977.468371
DEC_COGEN_GAS	0.002188	0.000133	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.003817	1.000000	0.058246	0.001467
DEC_COGEN_OIL	0.001780	0.000103	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001938	1.000000	0.058246	0.001287
DEC_ADVCOGEN_GAS	0.003860	0.000077	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001560	1.000000	0.058246	0.001169
DEC_ADVCOGEN_H2	0.003228	0.000051	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000662	1.000000	0.058246	0.000771
DEC_BOILER_GAS	0.002980	0.000075	17.000000	0.000000	0.000016	Infinity	0.000000	0.000000	1.000000	0.031090	1.000000	0.067080	0.000330
DEC_BOILER_WOOD	0.002736	0.000080	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.010255	1.000000	0.067080	0.000104
DEC_BOILER_OIL	0.001532	0.000077	17.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.005365	1.000000	0.067080	0.000189
DEC_SOLAR	0.019862	0.000212	20.000000	0.000000	0.000026	407.000000	0.000000	0.000000	1.000000	0.036149	1.000000	0.058246	0.005800
DEC_DIRECT_ELEC	1255.075148	5.120433	15.000000	0.000000	28.779526	Infinity	0.000000	0.179474	1.000000	0.134352	1.000000	0.074944	42.305904
DEC_THHP_GAS_COLD	5497.845154	160.724439	20.000000	0.000000	16.202060	Infinity	0.000000	0.100000	0.100000	0.136543	1.000000	0.058246	6188.052927
DEC_ELEC_COLD	52770.814103	2200.114300	18.000000	0.000000	99.778426	Infinity	0.000000	0.900000	1.000000	0.199547	1.000000	0.063806	16452.464713
IND_ELEC_COLD	962.740065	7.774658	20.000000	0.000000	1.447795	Infinity	0.000000	1.000000	1.000000	0.950000	0.950000	0.058246	253.060042
TRAMWAY_TROLLEY	0.000000	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.342466	0.041639	0.000000
BUS_COACH_DIESEL	52039.419360	2751.312194	15.000000	0.000000	90.042945	Infinity	0.000000	0.708362	1.000000	0.296804	0.296804	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.296804	0.074944	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.296804	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.296804	0.074944	0.000000
TRAIN_PUB	60240.800154	2174.109979	40.000000	40.000000	40.000000	Infinity	0.000000	0.291638	0.500000	0.275073	0.275073	0.033427	0.000000
CAR_GASOLINE	0.004080	0.000233	10.000000	0.000000	0.000010	Infinity	0.000000	0.000000	1.000000	0.005006	0.051370	0.108434	0.000000
CAR_DIESEL	0.000135	0.000007	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000180	0.051370	0.108434	0.000000
CAR_NG	0.000168	0.000009	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000216	0.051370	0.108434	0.000000
CAR_METHANOL	0.000140	0.000008	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000198	0.051370	0.108434	0.000000
CAR_HEV	0.000183	0.000014	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000238	0.051370	0.108434	0.000000
CAR_PHEV	0.000000	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.051370	0.108434	0.000000
CAR_BEV	318621.330779	7344.382149	10.000000	0.000000	734.438215	Infinity	0.000000	1.000000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000143	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000129	0.051370	0.108434	0.000000
TRAIN_FREIGHT	2617.696859	52.351723	40.000000	0.000000	25.068922	Infinity	0.000000	1.000000	1.000000	0.342466	0.342466	0.033427	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.114155	0.033427	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.114155	0.033427	0.000000
