Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000056	0.000028	0.000000
CCGT_AMMONIA	106.208904	52.092509	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000024	0.000009	0.000000
PV_ROOFTOP	966.891884	264.079590	0.000000
PV_UTILITY	518.816017	270.277359	0.000000
PT_POWER_BLOCK	0.000000	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000	0.000000
WIND_ONSHORE	475.502874	168.200000	0.000000
WIND_OFFSHORE	1338.441740	311.231988	0.000000
HYDRO_DAM	0.000405	0.000061	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	364.875310	458.184093	0.000000
IND_COGEN_WOOD	0.000023	0.000016	0.000000
IND_COGEN_WASTE	0.000024	0.000017	0.000000
IND_BOILER_GAS	0.000036	0.000009	0.000000
IND_BOILER_WOOD	20.545322	5.104530	0.000000
IND_BOILER_OIL	0.000019	0.000005	0.000000
IND_BOILER_COAL	0.000020	0.000005	0.000000
IND_BOILER_WASTE	19.243646	4.781126	0.000000
IND_DIRECT_ELEC	427.863759	22.198951	0.000000
DHN_HP_ELEC	133.517813	83.857204	0.000000
DHN_COGEN_GAS	0.000027	0.000016	0.000000
DHN_COGEN_WOOD	0.000016	0.000011	0.000000
DHN_COGEN_WASTE	0.000018	0.000013	0.000000
DHN_COGEN_WET_BIOMASS	0.000008	0.000026	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000048	0.000029	0.000000
DHN_BOILER_GAS	0.000005	0.000001	0.000000
DHN_BOILER_WOOD	0.000008	0.000002	0.000000
DHN_BOILER_OIL	0.000004	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000018	0.000000	0.000000
DEC_HP_ELEC	816.390181	476.896516	0.000000
DEC_THHP_GAS	0.000041	0.000018	0.000000
DEC_COGEN_GAS	0.000034	0.000035	0.000000
DEC_COGEN_OIL	0.000028	0.000028	0.000000
DEC_ADVCOGEN_GAS	0.000058	0.000020	0.000000
DEC_ADVCOGEN_H2	0.000061	0.000017	0.000000
DEC_BOILER_GAS	0.000036	0.000013	0.000000
DEC_BOILER_WOOD	0.000038	0.000016	0.000000
DEC_BOILER_OIL	0.000028	0.000021	0.000000
DEC_SOLAR	0.000281	0.000052	0.000000
DEC_DIRECT_ELEC	0.000038	0.000002	0.000000
DEC_THHP_GAS_COLD	0.000021	0.000011	0.000000
DEC_ELEC_COLD	0.000059	0.000039	0.000000
IND_ELEC_COLD	48.535401	6.729251	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000	0.000000
BUS_COACH_DIESEL	629.610324	444.160917	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	2013.675348	2174.109974	0.000000
CAR_GASOLINE	0.000005	0.000003	0.000000
CAR_DIESEL	0.000004	0.000002	0.000000
CAR_NG	0.000004	0.000002	0.000000
CAR_METHANOL	0.000003	0.000002	0.000000
CAR_HEV	0.000004	0.000003	0.000000
CAR_PHEV	0.001427	0.000980	0.000000
CAR_BEV	7901.812148	1679.735609	0.000000
CAR_FUEL_CELL	0.000006	0.000001	0.000000
TRAIN_FREIGHT	24.637201	14.740230	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	0.000000
TRUCK_DIESEL	0.000007	0.000005	0.000000
TRUCK_METHANOL	0.000007	0.000005	0.000000
TRUCK_FUEL_CELL	2524.934673	945.057891	0.000000
TRUCK_ELEC	0.000005	0.000002	0.000000
TRUCK_NG	0.000001	0.000001	0.000000
HABER_BOSCH	0.000025	0.000007	0.000000
OIL_TO_HVC	0.000029	0.000002	0.000000
GAS_TO_HVC	0.000019	0.000009	0.000000
BIOMASS_TO_HVC	0.000027	0.000007	0.000000
METHANOL_TO_HVC	221.073678	300.145150	0.000000
SYN_METHANOLATION	0.000031	0.000010	0.000000
METHANE_TO_METHANOL	0.000019	0.000014	0.000000
BIOMASS_TO_METHANOL	0.000032	0.000004	0.000000
DAM_STORAGE	0.000000	0.000000	0.000000
PHS	19.890135	0.000000	0.000000
BATT_LI	0.000172	0.000003	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000064	0.000008	0.000000
TS_DEC_HP_ELEC	83.181031	9.997691	0.000000
TS_DEC_THHP_GAS	0.000064	0.000008	0.000000
TS_DEC_COGEN_GAS	0.000064	0.000008	0.000000
TS_DEC_COGEN_OIL	0.000062	0.000007	0.000000
TS_DEC_ADVCOGEN_GAS	0.000063	0.000008	0.000000
TS_DEC_ADVCOGEN_H2	0.000063	0.000008	0.000000
TS_DEC_BOILER_GAS	0.000064	0.000008	0.000000
TS_DEC_BOILER_WOOD	0.000063	0.000008	0.000000
TS_DEC_BOILER_OIL	0.000063	0.000008	0.000000
TS_DHN_DAILY	0.000060	0.000005	0.000000
TS_DHN_SEASONAL	36.906128	3.888207	0.000000
TS_HIGH_TEMP	63.191393	13.078998	0.000000
GAS_STORAGE	23.739439	21.754980	0.000000
H2_STORAGE	0.000759	0.000063	0.000000
DIESEL_STORAGE	0.000387	0.000264	0.000000
GASOLINE_STORAGE	0.000388	0.000264	0.000000
LFO_STORAGE	0.000393	0.000268	0.000000
AMMONIA_STORAGE	0.000386	0.000263	0.000000
METHANOL_STORAGE	0.000388	0.000265	0.000000
CO2_STORAGE	0.000767	0.000184	0.000000
PT_STORAGE	0.000000	0.000000	0.000000
ST_STORAGE	0.000000	0.000000	0.000000
TS_COLD	0.000515	0.000106	0.000000
CAES	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
DHN	146.608936	0.000000	0.000000
GRID	2210.375697	0.000000	0.000000
PT_COLLECTOR	0.000000	0.000000	0.000000
ST_COLLECTOR	0.000000	0.000000	0.000000
H2_ELECTROLYSIS	0.000039	0.000004	0.000000
SMR	0.000013	0.000022	0.000000
H2_BIOMASS	0.000020	0.000017	0.000000
GASIFICATION_SNG	0.000024	0.000017	0.000000
SYN_METHANATION	0.000006	0.000033	0.000000
BIOMETHANATION	0.000029	0.000006	0.000000
BIO_HYDROLYSIS	220.105196	175.942319	0.000000
PYROLYSIS_TO_LFO	0.000035	0.000017	0.000000
PYROLYSIS_TO_FUELS	0.000027	0.000008	0.000000
ATM_CCS	0.000019	0.000014	0.000000
INDUSTRY_CCS	0.000021	0.000015	0.000000
AMMONIA_TO_H2	0.000014	0.000023	0.000000
ELECTRICITY	0.000000	0.000000	2748.285105
GASOLINE	0.000000	0.000000	0.000015
DIESEL	0.000000	0.000000	0.000025
BIOETHANOL	0.000000	0.000000	0.000083
BIODIESEL	0.000000	0.000000	1204.870819
LFO	0.000000	0.000000	0.000051
GAS	0.000000	0.000000	0.000000
GAS_RE	0.000000	0.000000	7569.557377
WOOD	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	0.000010
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	411.503755
H2	0.000000	0.000000	0.000000
H2_RE	0.000000	0.000000	3332.996488
AMMONIA	0.000000	0.000000	0.000013
METHANOL	0.000000	0.000000	0.000018
AMMONIA_RE	0.000000	0.000000	2141.409905
METHANOL_RE	0.000000	0.000000	5926.961360
ELEC_EXPORT	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
